scheme,epsilon,final_accuracy,final_loss,total_sim_time_s,round_time_s_max,round_time_s_mean,ratios
none,0.09077422201633453,0.8949,0.3654052604675293,1.2058816000000019,0.008039210666666666,0.002868723733333333,"1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000"
uniform,0.09077422201633453,0.8949,0.365414697265625,1.1017934400000016,0.007345289600000001,0.00262585136,"0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000,0.9000"
greedy,0.09077422201633453,0.8952,0.36540324478149416,1.0363619125915668,0.006909079417277093,0.0025356217173443663,"0.8322,0.9438,0.9174,0.9425,0.9405,0.8371,0.9455,0.9486,0.9295,0.8336,0.9208,0.9541"
compressiq,0.09077422201633453,0.8949,0.3654289077758789,1.0018620324323169,0.006679080216215461,0.002528681868170905,"0.8040,1.0000,1.0000,1.0000,1.0000,0.8040,1.0000,1.0000,1.0000,0.8040,1.0000,1.0000"
none,0.22326006011977087,0.8949,0.3654052604675293,1.2058816000000019,0.008039210666666666,0.002868723733333333,"1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000"
uniform,0.22326006011977087,0.895,0.3653844009399414,1.042641977270663,0.006950946515137767,0.0024878312802982185,"0.8432,0.8432,0.8432,0.8432,0.8432,0.8432,0.8432,0.8432,0.8432,0.8432,0.8432,0.8432"
greedy,0.22326006011977087,0.895,0.3654064659118652,0.9400268686093382,0.006266845790728944,0.002346325725525146,"0.7368,0.9119,0.8705,0.9098,0.9067,0.7446,0.9145,0.9195,0.8894,0.7391,0.8758,0.9280"
compressiq,0.22326006011977087,0.8949,0.36541808395385744,0.8859213156044394,0.0059061421040295815,0.0023354483745798055,"0.6926,1.0000,1.0000,1.0000,1.0000,0.6926,1.0000,1.0000,1.0000,0.6926,1.0000,1.0000"
none,0.5491102356758757,0.8949,0.3654052604675293,1.2058816000000019,0.008039210666666666,0.002868723733333333,"1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000"
uniform,0.5491102356758757,0.8951,0.3654080543518066,0.9498757831153962,0.006332505220769292,0.002271376827269252,"0.7540,0.7540,0.7540,0.7540,0.7540,0.7540,0.7540,0.7540,0.7540,0.7540,0.7540,0.7540"
greedy,0.5491102356758757,0.8951,0.3654275459289551,0.7889463207807355,0.005259642138538219,0.0020494561652529223,"0.5872,0.8618,0.7970,0.8585,0.8536,0.5994,0.8660,0.8737,0.8266,0.5908,0.8052,0.8871"
compressiq,0.5491102356758757,0.8949,0.36540139389038084,0.7040935382788368,0.004693956921858896,0.0020323965923358463,"0.5179,1.0000,1.0000,1.0000,1.0000,0.5179,1.0000,1.0000,1.0000,0.5179,1.0000,1.0000"
none,1.3505418334217958,0.8949,0.3654052604675293,1.2058816000000019,0.008039210666666666,0.002868723733333333,"1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000"
uniform,1.3505418334217958,0.895,0.3654261566162109,0.8043921994307317,0.00536261466287153,0.0019319151320050358,"0.6143,0.6143,0.6143,0.6143,0.6143,0.6143,0.6143,0.6143,0.6143,0.6143,0.6143,0.6143"
greedy,1.3505418334217958,0.8953,0.36548676681518555,0.5520093662867412,0.0036800624419116093,0.001583880877740286,"0.3526,0.7833,0.6816,0.7781,0.7704,0.3718,0.7898,0.8019,0.7280,0.3582,0.6945,0.8230"
compressiq,1.3505418334217958,0.8951,0.36555049743652346,0.41893624621217895,0.0027929083080811823,0.00155713225828701,"0.2440,1.0000,1.0000,1.0000,1.0000,0.2440,1.0000,1.0000,1.0000,0.2440,1.0000,1.0000"
none,3.321670450337297,0.8949,0.3654052604675293,1.2058816000000019,0.008039210666666666,0.002868723733333333,"1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000"
uniform,3.321670450337297,0.8951,0.365462833404541,0.5762328649396964,0.003841552432931305,0.0013995433515259566,"0.3951,0.3951,0.3951,0.3951,0.3951,0.3951,0.3951,0.3951,0.3951,0.3951,0.3951,0.3951"
greedy,3.321670450337297,0.8942,0.3699569175720215,0.1853821067321431,0.0012358807115476185,0.0008778936741937318,"0.0100,0.6601,0.5006,0.6520,0.6400,0.0148,0.6704,0.6894,0.5735,0.0100,0.5209,0.7224"
compressiq,3.321670450337297,0.8955,0.3665333396911621,0.239137782375905,0.001594251882506037,0.0009342518837621041,"0.0712,0.7123,0.3561,0.7123,0.7123,0.0712,0.7123,0.7123,0.3561,0.0712,0.3561,0.7123"
none,8.169679981470109,0.8949,0.3654052604675293,1.2058816000000019,0.008039210666666666,0.002868723733333333,"1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000"
uniform,8.169679981470109,0.8946,0.37022517852783204,0.21841461083190453,0.0014560974055460281,0.0005646340919411098,"0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513,0.0513"
greedy,8.169679981470109,0.8941,0.37048685836791995,0.175408816,0.0011693921066666666,0.0007181685281011371,"0.0100,0.4670,0.2168,0.4542,0.4354,0.0100,0.4830,0.5128,0.3311,0.0100,0.2487,0.5647"
compressiq,8.169679981470109,0.8936,0.3733185852050781,0.17540881623496093,0.0011693921082330725,0.0005033117021887814,"0.0100,0.0880,0.0429,0.0873,0.0864,0.0100,0.0888,0.0904,0.0443,0.0100,0.0433,0.0930"
